#filetype,con,,,,,,
Rule ID,Area Scope,Zone Scope,Device Name,Device Type,Datapoint Name,Direction,Map
1,,,dyn-1,,webServer/0/nviDo0_001,Source,
1,,,DIO-1,,DO/0/DO_0,Destination,
2,,,dyn-1,,webServer/0/nviDo1_001,Source,
2,,,DIO-1,,DO/0/DO_1,Destination,
3,,,dyn-1,,webServer/0/nviDo2_001,Source,
3,,,DIO-1,,DO/0/DO_2,Destination,
4,,,dyn-1,,webServer/0/nviDo3_001,Source,
4,,,DIO-1,,DO/0/DO_3,Destination,
5,,,dyn-1,,webServer/0/nviDo4_001,Source,
5,,,DIO-1,,DO/0/DO_4,Destination,
6,,,dyn-1,,webServer/0/nviDo5_001,Source,
6,,,DIO-1,,DO/0/DO_5,Destination,
7,,,dyn-1,,webServer/0/nviDo6_001,Source,
7,,,DIO-1,,DO/0/DO_6,Destination,
8,,,dyn-1,,webServer/0/nviDo7_001,Source,
8,,,DIO-1,,DO/0/DO_7,Destination,
9,,,DIO-1,,DI/0/DI_0,Source,
9,,,dyn-1,,webServer/0/nvoDi0_001,Destination,
10,,,DIO-1,,DI/0/DI_1,Source,
10,,,dyn-1,,webServer/0/nvoDi1_001,Destination,
11,,,DIO-1,,DI/0/DI_2,Source,
11,,,dyn-1,,webServer/0/nvoDi2_001,Destination,
12,,,DIO-1,,DI/0/DI_3,Source,
12,,,dyn-1,,webServer/0/nvoDi3_001,Destination,
13,,,DIO-1,,DI/0/DI_4,Source,
13,,,dyn-1,,webServer/0/nvoDi4_001,Destination,
14,,,DIO-1,,DI/0/DI_5,Source,
14,,,dyn-1,,webServer/0/nvoDi5_001,Destination,
15,,,DIO-1,,DI/0/DI_6,Source,
15,,,dyn-1,,webServer/0/nvoDi6_001,Destination,
,,,,,,,
,,,,,,,
